date,week,year,region,sku_id,medicine_name,category,units_ordered,unit_price_lkr,stock_level_units,lead_time_days,stockout_flag,expiry_risk_flag,generic_vs_brand,shelf_life_weeks,pharmacy_count_region,population_density_per_km2,rainfall_mm,weather_condition,dengue_index,flu_index,school_term_active
2023-01-02,1,2023,Western,SKU001,Paracetamol 500mg,Antipyretic,15956,465.0,20563,2,0,0,Generic,260,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU002,Ibuprofen 400mg,Antipyretic,6702,620.0,12515,1,0,0,Generic,260,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU003,Amoxicillin 500mg,Antibiotic,1433,2635.0,2193,1,0,0,Generic,130,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU004,Azithromycin 250mg,Antibiotic,1511,3720.0,1858,2,0,0,Brand,130,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU005,Dengue Rapid Test Kit,Diagnostics,5060,139500.0,9462,1,0,0,Brand,78,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU006,ORS Sachets,Rehydration,6497,1085.0,10384,1,0,0,Generic,104,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU007,Paediatric Paracetamol Syrup,Paediatric,4894,1550.0,9044,3,0,0,Generic,52,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU008,Children's Multivitamin,Paediatric,672,5580.0,803,1,1,0,Brand,104,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU009,Salbutamol Inhaler,Respiratory,1365,10850.0,1920,2,0,0,Brand,130,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU010,Cetirizine 10mg,Antihistamine,1324,1240.0,1326,2,0,0,Generic,260,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU011,Metformin 500mg,Diabetes,664,775.0,1286,2,0,0,Generic,260,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU012,Amlodipine 5mg,Cardiovascular,1213,930.0,1867,1,0,0,Generic,260,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU013,Vitamin C 500mg,Supplement,2332,1860.0,2669,3,0,0,Generic,130,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU014,Zinc Supplement,Supplement,1929,2480.0,3688,1,0,0,Generic,130,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Western,SKU015,Omeprazole 20mg,Gastrointestinal,956,1705.0,1300,2,0,0,Generic,130,650,1614.2,110.9,Rainy,3.0,1.458,True
2023-01-02,1,2023,Central,SKU001,Paracetamol 500mg,Antipyretic,2042,465.0,4580,4,0,0,Generic,260,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU002,Ibuprofen 400mg,Antipyretic,667,620.0,1658,4,0,0,Generic,260,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU003,Amoxicillin 500mg,Antibiotic,321,2635.0,756,3,0,0,Generic,130,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU004,Azithromycin 250mg,Antibiotic,534,3720.0,1024,6,0,0,Brand,130,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU005,Dengue Rapid Test Kit,Diagnostics,586,139500.0,1029,4,1,0,Brand,78,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU006,ORS Sachets,Rehydration,1221,1085.0,2079,8,0,0,Generic,104,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU007,Paediatric Paracetamol Syrup,Paediatric,764,1550.0,1705,6,0,0,Generic,52,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU008,Children's Multivitamin,Paediatric,282,5580.0,400,4,0,0,Brand,104,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU009,Salbutamol Inhaler,Respiratory,491,10850.0,977,5,0,0,Brand,130,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU010,Cetirizine 10mg,Antihistamine,408,1240.0,1590,6,0,0,Generic,260,280,466.4,190.4,Heavy Rain,1.73,1.458,True
2023-01-02,1,2023,Central,SKU011,Metformin 500mg,Diabetes,346,775.0,1064,5,0,0,Generic,260,280,466.4,190.4,Heavy Rain,1.73,1.458,True
