date,week,year,region,sku_id,medicine_name,category,units_ordered,unit_price_lkr,total_value_lkr,dengue_index,flu_index,school_term_active,rolling_mean,rolling_std,z_score,is_anomaly,anomaly_type,deviation_pct
2024-01-01,1,2024,Central,SKU001,Paracetamol 500mg,Antipyretic,486,465.0,225990.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU002,Ibuprofen 400mg,Antipyretic,266,620.0,164920.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU003,Amoxicillin 500mg,Antibiotic,223,2635.0,587605.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU004,Azithromycin 250mg,Antibiotic,144,3720.0,535680.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU005,Dengue Rapid Test Kit,Diagnostics,74,139500.0,10323000.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU006,ORS Sachets,Rehydration,468,1085.0,507780.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU007,Paediatric Paracetamol Syrup,Paediatric,266,1550.0,412300.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU008,Children's Multivitamin,Paediatric,185,5580.0,1032300.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU009,Salbutamol Inhaler,Respiratory,97,10850.0,1052450.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU010,Cetirizine 10mg,Antihistamine,204,1240.0,252960.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU011,Metformin 500mg,Diabetes,319,775.0,247225.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU012,Amlodipine 5mg,Cardiovascular,232,930.0,215760.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU013,Vitamin C 500mg,Supplement,290,1860.0,539400.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU014,Zinc Supplement,Supplement,133,2480.0,329840.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Central,SKU015,Omeprazole 20mg,Gastrointestinal,179,1705.0,305195.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU001,Paracetamol 500mg,Antipyretic,273,465.0,126945.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU002,Ibuprofen 400mg,Antipyretic,165,620.0,102300.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU003,Amoxicillin 500mg,Antibiotic,103,2635.0,271405.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU004,Azithromycin 250mg,Antibiotic,76,3720.0,282720.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU005,Dengue Rapid Test Kit,Diagnostics,54,139500.0,7533000.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU006,ORS Sachets,Rehydration,257,1085.0,278845.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU007,Paediatric Paracetamol Syrup,Paediatric,150,1550.0,232500.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU008,Children's Multivitamin,Paediatric,114,5580.0,636120.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU009,Salbutamol Inhaler,Respiratory,68,10850.0,737800.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU010,Cetirizine 10mg,Antihistamine,112,1240.0,138880.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU011,Metformin 500mg,Diabetes,182,775.0,141050.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU012,Amlodipine 5mg,Cardiovascular,177,930.0,164610.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU013,Vitamin C 500mg,Supplement,153,1860.0,284580.0,1.0,1.191,True,,1.0,,False,NORMAL,
2024-01-01,1,2024,Eastern,SKU014,Zinc Supplement,Supplement,95,2480.0,235600.0,1.0,1.191,True,,1.0,,False,NORMAL,
